Название;Жанр;Режиссер;Страна;Год
47 ронинов;фэнтези, боевик, драма;Карл Ринш;;2013
45-й калибр;драма;Гари Леннон;США;2006
45 лет;драма;Эндрю Хэйг, [англ.];Великобритания;2015
42-я улица;комедия, мюзикл, мелодрама;Ллойд Бэкон, Басби Беркли, (муз. номера);США;1933
42 / Номер 42;драма, спортивный фильм;Брайан Хелгеленд;США, 2, 3;2013
40-я дверь;драма;Эльчин Мусаоглу;Азербайджан;2009
40 дней и 40 ночей;кинокомедия;Майкл Леманн;США;2002
40;детектив, /, триллер;Александр Галибин;Россия;2007
39-я бригада;исторический фильм, военный, экранизация;Карой Макк;Венгрия;1959
Актриса и трансильванцы;вестерн;Мирча Верою;СР Румыния;1979
Актриса;мелодрама, комедия, военный фильм;Леонид Трауберг;СССР;1942
Активная зона;драма;Леонид Пчёлкин;СССР;1979
Актёры;комедия;Бертран Блие;Франция;2000
